"행정구역","2016년03월_남자인구수","2016년03월_여자인구수","2016년03월_계","2016년04월_남자인구수","2016년04월_여자인구수","2016년04월_계","2016년05월_남자인구수","2016년05월_여자인구수","2016년05월_계","2016년06월_남자인구수","2016년06월_여자인구수","2016년06월_계","2016년07월_남자인구수","2016년07월_여자인구수","2016년07월_계","2016년08월_남자인구수","2016년08월_여자인구수","2016년08월_계","2016년09월_남자인구수","2016년09월_여자인구수","2016년09월_계","2016년10월_남자인구수","2016년10월_여자인구수","2016년10월_계","2016년11월_남자인구수","2016년11월_여자인구수","2016년11월_계","2016년12월_남자인구수","2016년12월_여자인구수","2016년12월_계","2017년01월_남자인구수","2017년01월_여자인구수","2017년01월_계","2017년02월_남자인구수","2017년02월_여자인구수","2017년02월_계","2017년03월_남자인구수","2017년03월_여자인구수","2017년03월_계","2017년04월_남자인구수","2017년04월_여자인구수","2017년04월_계","2017년05월_남자인구수","2017년05월_여자인구수","2017년05월_계","2017년06월_남자인구수","2017년06월_여자인구수","2017년06월_계","2017년07월_남자인구수","2017년07월_여자인구수","2017년07월_계","2017년08월_남자인구수","2017년08월_여자인구수","2017년08월_계","2017년09월_남자인구수","2017년09월_여자인구수","2017년09월_계","2017년10월_남자인구수","2017년10월_여자인구수","2017년10월_계","2017년11월_남자인구수","2017년11월_여자인구수","2017년11월_계","2017년12월_남자인구수","2017년12월_여자인구수","2017년12월_계","2018년01월_남자인구수","2018년01월_여자인구수","2018년01월_계","2018년02월_남자인구수","2018년02월_여자인구수","2018년02월_계","2018년03월_남자인구수","2018년03월_여자인구수","2018년03월_계","2018년04월_남자인구수","2018년04월_여자인구수","2018년04월_계","2018년05월_남자인구수","2018년05월_여자인구수","2018년05월_계","2018년06월_남자인구수","2018년06월_여자인구수","2018년06월_계","2018년07월_남자인구수","2018년07월_여자인구수","2018년07월_계","2018년08월_남자인구수","2018년08월_여자인구수","2018년08월_계","2018년09월_남자인구수","2018년09월_여자인구수","2018년09월_계","2018년10월_남자인구수","2018년10월_여자인구수","2018년10월_계","2018년11월_남자인구수","2018년11월_여자인구수","2018년11월_계","2018년12월_남자인구수","2018년12월_여자인구수","2018년12월_계","2019년01월_남자인구수","2019년01월_여자인구수","2019년01월_계","2019년02월_남자인구수","2019년02월_여자인구수","2019년02월_계","2019년03월_남자인구수","2019년03월_여자인구수","2019년03월_계","2019년04월_남자인구수","2019년04월_여자인구수","2019년04월_계","2019년05월_남자인구수","2019년05월_여자인구수","2019년05월_계","2019년06월_남자인구수","2019년06월_여자인구수","2019년06월_계","2019년07월_남자인구수","2019년07월_여자인구수","2019년07월_계","2019년08월_남자인구수","2019년08월_여자인구수","2019년08월_계","2019년09월_남자인구수","2019년09월_여자인구수","2019년09월_계","2019년10월_남자인구수","2019년10월_여자인구수","2019년10월_계","2019년11월_남자인구수","2019년11월_여자인구수","2019년11월_계","2019년12월_남자인구수","2019년12월_여자인구수","2019년12월_계","2020년01월_남자인구수","2020년01월_여자인구수","2020년01월_계","2020년02월_남자인구수","2020년02월_여자인구수","2020년02월_계","2020년03월_남자인구수","2020년03월_여자인구수","2020년03월_계"
"서울특별시 서울특별시 광진구 (1121500000)","128","131","259","121","115","236","143","135","278","100","113","213","124","132","256","131","104","235","122","129","251","124","108","232","104","90","194","101","105","206","112","84","196","123","127","250","129","107","236","97","74","171","119","110","229","109","94","203","83","95","178","120","92","212","104","87","191","87","101","188","82","75","157","91","86","177","104","85","189","103","94","197","96","109","205","105","79","184","90","87","177","108","79","187","101","110","211","104","104","208","83","82","165","104","92","196","80","88","168","86","85","171","81","86","167","98","98","196","87","90","177","87","80","167","83","81","164","72","68","140","87","87","174","88","77","165","100","78","178","90","74","164","89","66","155","76","75","151","63","62","125","64","62","126","79","88","167"
"서울특별시 광진구 화양동(1121571000)","6","5","11","5","6","11","4","3","7","5","5","10","1","6","7","5","2","7","11","2","13","2","4","6","3","4","7","2","0","2","5","4","9","3","7","10","5","3","8","2","0","2","1","3","4","1","4","5","3","4","7","1","3","4","2","5","7","2","2","4","4","3","7","3","1","4","6","3","9","1","1","2","2","2","4","2","3","5","3","1","4","3","1","4","2","2","4","3","1","4","1","4","5","8","3","11","5","0","5","1","1","2","2","0","2","1","3","4","4","1","5","2","0","2","4","1","5","3","4","7","0","1","1","3","0","3","4","5","9","3","1","4","1","6","7","5","3","8","3","2","5","2","0","2","1","4","5"
"서울특별시 광진구 군자동(1121573000)","6","5","11","8","4","12","6","6","12","1","7","8","10","3","13","10","13","23","8","8","16","5","9","14","4","8","12","2","4","6","14","3","17","9","7","16","5","4","9","3","1","4","6","8","14","5","4","9","2","2","4","6","6","12","6","2","8","3","5","8","2","2","4","5","9","14","6","10","16","7","2","9","4","5","9","8","7","15","6","0","6","2","3","5","7","7","14","13","5","18","3","3","6","2","3","5","3","1","4","5","4","9","5","5","10","5","5","10","6","2","8","4","2","6","2","4","6","3","3","6","3","4","7","6","3","9","5","4","9","4","3","7","4","4","8","1","4","5","4","3","7","2","2","4","5","4","9"
"서울특별시 광진구 중곡제1동(1121574000)","9","10","19","6","5","11","7","10","17","6","6","12","7","9","16","13","9","22","6","7","13","12","6","18","3","5","8","6","7","13","8","4","12","2","4","6","15","5","20","3","5","8","5","4","9","7","5","12","2","7","9","5","3","8","5","6","11","2","4","6","5","7","12","3","2","5","2","5","7","5","5","10","6","9","15","8","6","14","5","3","8","8","5","13","9","7","16","6","10","16","7","5","12","4","7","11","6","3","9","3","5","8","3","5","8","2","3","5","5","3","8","2","5","7","4","4","8","8","6","14","6","2","8","4","3","7","4","8","12","3","4","7","3","3","6","6","2","8","3","6","9","3","5","8","4","3","7"
"서울특별시 광진구 중곡제2동(1121575000)","3","7","10","7","10","17","15","11","26","8","8","16","15","13","28","11","6","17","4","9","13","13","6","19","7","5","12","10","8","18","8","3","11","10","10","20","13","4","17","6","9","15","5","2","7","8","7","15","5","6","11","7","6","13","8","9","17","5","9","14","5","5","10","6","2","8","11","12","23","7","3","10","4","12","16","8","6","14","6","6","12","6","9","15","7","3","10","8","5","13","8","8","16","9","4","13","10","4","14","5","8","13","8","7","15","6","12","18","5","11","16","4","4","8","11","8","19","8","6","14","4","11","15","3","5","8","5","11","16","6","2","8","5","3","8","2","2","4","2","3","5","3","1","4","3","9","12"
"서울특별시 광진구 중곡제3동(1121576000)","8","8","16","9","9","18","3","2","5","9","8","17","7","5","12","8","5","13","6","12","18","6","7","13","6","4","10","7","3","10","6","0","6","7","3","10","5","6","11","6","8","14","9","4","13","5","4","9","8","7","15","3","7","10","6","6","12","4","8","12","6","1","7","3","5","8","2","2","4","5","4","9","4","5","9","5","3","8","6","2","8","3","6","9","6","8","14","5","5","10","3","3","6","8","6","14","4","2","6","7","4","11","5","5","10","6","7","13","7","3","10","6","6","12","4","1","5","1","5","6","1","2","3","3","4","7","0","1","1","2","7","9","5","2","7","1","6","7","3","4","7","2","4","6","4","3","7"
"서울특별시 광진구 중곡제4동(1121577000)","14","10","24","9","15","24","20","12","32","3","10","13","14","11","25","14","8","22","11","18","29","11","9","20","11","6","17","7","8","15","16","4","20","12","16","28","11","7","18","12","8","20","11","10","21","10","9","19","13","8","21","8","10","18","8","8","16","16","12","28","9","7","16","11","6","17","8","5","13","13","16","29","9","11","20","9","6","15","8","9","17","17","3","20","9","15","24","11","17","28","11","8","19","6","2","8","6","10","16","5","7","12","3","13","16","9","7","16","5","10","15","7","9","16","6","7","13","8","3","11","13","6","19","16","8","24","4","7","11","9","10","19","10","6","16","6","7","13","6","6","12","5","8","13","10","5","15"
"서울특별시 광진구 능동(1121578000)","6","4","10","7","3","10","12","7","19","4","6","10","4","5","9","1","4","5","6","5","11","8","8","16","8","5","13","2","4","6","3","8","11","2","6","8","4","3","7","4","4","8","5","6","11","5","1","6","6","5","11","7","2","9","5","5","10","4","3","7","4","2","6","3","3","6","4","3","7","3","8","11","4","7","11","5","2","7","1","5","6","7","4","11","3","5","8","5","5","10","1","3","4","1","2","3","1","8","9","3","6","9","3","4","7","8","6","14","1","2","3","5","2","7","7","5","12","2","0","2","5","1","6","2","4","6","3","4","7","3","4","7","4","6","10","1","5","6","1","4","5","1","3","4","6","4","10"
"서울특별시 광진구 광장동(1121581000)","10","13","23","6","8","14","9","9","18","7","8","15","9","3","12","5","6","11","5","7","12","9","3","12","7","6","13","10","10","20","8","5","13","11","9","20","8","12","20","6","4","10","11","11","22","9","6","15","3","3","6","11","8","19","10","4","14","3","8","11","2","4","6","14","6","20","3","3","6","9","6","15","7","5","12","8","3","11","6","3","9","17","10","27","11","3","14","9","4","13","4","5","9","9","10","19","2","7","9","8","6","14","11","6","17","9","4","13","5","3","8","7","6","13","7","5","12","6","2","8","7","8","15","6","4","10","11","7","18","6","7","13","8","3","11","5","8","13","7","3","10","8","8","16","4","9","13"
"서울특별시 광진구 자양제1동(1121582000)","6","12","18","9","1","10","6","10","16","10","4","14","6","8","14","8","7","15","5","10","15","3","8","11","5","5","10","5","10","15","8","9","17","7","8","15","6","3","9","9","4","13","7","7","14","5","4","9","3","6","9","4","7","11","6","5","11","6","5","11","7","5","12","2","8","10","4","6","10","3","5","8","7","4","11","7","3","10","3","7","10","4","4","8","9","9","18","6","5","11","8","6","14","5","6","11","5","5","10","3","8","11","4","4","8","8","3","11","7","6","13","11","7","18","4","4","8","2","7","9","4","7","11","5","5","10","6","2","8","4","6","10","2","3","5","8","8","16","1","3","4","4","2","6","4","2","6"
