"행정구역","2020년04월_남자인구수","2020년04월_여자인구수","2020년04월_계","2020년05월_남자인구수","2020년05월_여자인구수","2020년05월_계","2020년06월_남자인구수","2020년06월_여자인구수","2020년06월_계","2020년07월_남자인구수","2020년07월_여자인구수","2020년07월_계","2020년08월_남자인구수","2020년08월_여자인구수","2020년08월_계","2020년09월_남자인구수","2020년09월_여자인구수","2020년09월_계","2020년10월_남자인구수","2020년10월_여자인구수","2020년10월_계","2020년11월_남자인구수","2020년11월_여자인구수","2020년11월_계","2020년12월_남자인구수","2020년12월_여자인구수","2020년12월_계","2021년01월_남자인구수","2021년01월_여자인구수","2021년01월_계","2021년02월_남자인구수","2021년02월_여자인구수","2021년02월_계","2021년03월_남자인구수","2021년03월_여자인구수","2021년03월_계","2021년04월_남자인구수","2021년04월_여자인구수","2021년04월_계","2021년05월_남자인구수","2021년05월_여자인구수","2021년05월_계","2021년06월_남자인구수","2021년06월_여자인구수","2021년06월_계","2021년07월_남자인구수","2021년07월_여자인구수","2021년07월_계","2021년08월_남자인구수","2021년08월_여자인구수","2021년08월_계","2021년09월_남자인구수","2021년09월_여자인구수","2021년09월_계","2021년10월_남자인구수","2021년10월_여자인구수","2021년10월_계","2021년11월_남자인구수","2021년11월_여자인구수","2021년11월_계","2021년12월_남자인구수","2021년12월_여자인구수","2021년12월_계","2022년01월_남자인구수","2022년01월_여자인구수","2022년01월_계","2022년02월_남자인구수","2022년02월_여자인구수","2022년02월_계","2022년03월_남자인구수","2022년03월_여자인구수","2022년03월_계","2022년04월_남자인구수","2022년04월_여자인구수","2022년04월_계","2022년05월_남자인구수","2022년05월_여자인구수","2022년05월_계","2022년06월_남자인구수","2022년06월_여자인구수","2022년06월_계","2022년07월_남자인구수","2022년07월_여자인구수","2022년07월_계","2022년08월_남자인구수","2022년08월_여자인구수","2022년08월_계","2022년09월_남자인구수","2022년09월_여자인구수","2022년09월_계","2022년10월_남자인구수","2022년10월_여자인구수","2022년10월_계","2022년11월_남자인구수","2022년11월_여자인구수","2022년11월_계","2022년12월_남자인구수","2022년12월_여자인구수","2022년12월_계","2023년01월_남자인구수","2023년01월_여자인구수","2023년01월_계","2023년02월_남자인구수","2023년02월_여자인구수","2023년02월_계","2023년03월_남자인구수","2023년03월_여자인구수","2023년03월_계","2023년04월_남자인구수","2023년04월_여자인구수","2023년04월_계","2023년05월_남자인구수","2023년05월_여자인구수","2023년05월_계","2023년06월_남자인구수","2023년06월_여자인구수","2023년06월_계","2023년07월_남자인구수","2023년07월_여자인구수","2023년07월_계","2023년08월_남자인구수","2023년08월_여자인구수","2023년08월_계","2023년09월_남자인구수","2023년09월_여자인구수","2023년09월_계","2023년10월_남자인구수","2023년10월_여자인구수","2023년10월_계","2023년11월_남자인구수","2023년11월_여자인구수","2023년11월_계","2023년12월_남자인구수","2023년12월_여자인구수","2023년12월_계","2024년01월_남자인구수","2024년01월_여자인구수","2024년01월_계","2024년02월_남자인구수","2024년02월_여자인구수","2024년02월_계","2024년03월_남자인구수","2024년03월_여자인구수","2024년03월_계","2024년04월_남자인구수","2024년04월_여자인구수","2024년04월_계","2024년05월_남자인구수","2024년05월_여자인구수","2024년05월_계","2024년06월_남자인구수","2024년06월_여자인구수","2024년06월_계","2024년07월_남자인구수","2024년07월_여자인구수","2024년07월_계","2024년08월_남자인구수","2024년08월_여자인구수","2024년08월_계","2024년09월_남자인구수","2024년09월_여자인구수","2024년09월_계","2024년10월_남자인구수","2024년10월_여자인구수","2024년10월_계","2024년11월_남자인구수","2024년11월_여자인구수","2024년11월_계","2024년12월_남자인구수","2024년12월_여자인구수","2024년12월_계","2025년01월_남자인구수","2025년01월_여자인구수","2025년01월_계","2025년02월_남자인구수","2025년02월_여자인구수","2025년02월_계","2025년03월_남자인구수","2025년03월_여자인구수","2025년03월_계"
"서울특별시 서울특별시 광진구 (1121500000)","52","61","113","68","62","130","57","57","114","73","67","140","69","64","133","72","70","142","70","52","122","59","55","114","59","61","120","57","65","122","46","63","109","69","82","151","72","73","145","73","53","126","72","72","144","72","63","135","74","57","131","57","59","116","63","58","121","67","44","111","42","57","99","52","51","103","67","48","115","68","65","133","74","68","142","53","56","109","48","52","100","54","59","113","65","61","126","52","48","100","68","59","127","50","42","92","51","46","97","56","52","108","44","57","101","70","48","118","48","56","104","60","54","114","57","62","119","55","44","99","55","57","112","51","51","102","60","49","109","57","50","107","44","42","86","64","60","124","47","44","91","62","55","117","67","51","118","62","52","114","48","47","95","79","59","138","45","53","98","54","57","111","66","43","109","64","55","119","48","59","107","49","64","113","54","53","107","48","67","115"
"서울특별시 광진구 화양동(1121571000)","0","0","0","1","1","2","2","0","2","4","2","6","2","2","4","1","1","2","0","2","2","0","3","3","1","1","2","3","6","9","0","3","3","3","5","8","1","1","2","4","2","6","3","3","6","4","2","6","1","2","3","1","1","2","1","2","3","4","0","4","2","0","2","3","2","5","1","1","2","1","2","3","3","4","7","2","1","3","1","0","1","3","1","4","0","1","1","1","4","5","2","1","3","2","1","3","2","3","5","3","1","4","0","2","2","2","1","3","0","1","1","3","0","3","1","0","1","1","5","6","1","1","2","1","1","2","2","3","5","1","4","5","3","1","4","0","1","1","5","1","6","1","3","4","0","1","1","3","3","6","3","1","4","4","0","4","6","2","8","0","1","1","1","1","2","1","1","2","5","4","9","0","1","1","3","2","5","4","6","10"
"서울특별시 광진구 군자동(1121573000)","1","4","5","4","2","6","2","7","9","6","2","8","3","2","5","3","2","5","5","1","6","3","8","11","4","4","8","4","3","7","4","1","5","3","6","9","5","5","10","4","3","7","5","1","6","2","6","8","2","2","4","3","2","5","3","4","7","5","1","6","4","5","9","2","3","5","3","4","7","2","4","6","5","5","10","3","0","3","3","2","5","1","2","3","8","3","11","0","1","1","3","2","5","2","3","5","2","2","4","2","2","4","4","2","6","2","3","5","3","2","5","7","2","9","3","3","6","6","3","9","3","5","8","2","3","5","2","3","5","3","3","6","1","2","3","4","5","9","1","2","3","6","2","8","0","2","2","2","2","4","1","4","5","7","2","9","0","0","0","5","1","6","2","4","6","0","1","1","2","3","5","3","0","3","1","2","3","0","6","6"
"서울특별시 광진구 중곡제1동(1121574000)","5","1","6","8","4","12","1","5","6","1","5","6","4","5","9","2","2","4","9","3","12","2","3","5","6","4","10","5","5","10","1","3","4","2","2","4","2","3","5","4","3","7","2","6","8","3","6","9","2","1","3","1","7","8","6","0","6","3","2","5","3","4","7","2","7","9","3","4","7","5","2","7","3","6","9","2","4","6","4","5","9","1","1","2","0","2","2","4","3","7","1","6","7","3","1","4","1","5","6","2","1","3","2","4","6","4","4","8","0","4","4","2","2","4","4","2","6","2","2","4","3","3","6","1","2","3","5","2","7","3","3","6","2","4","6","3","2","5","2","1","3","3","4","7","3","0","3","1","0","1","1","0","1","5","1","6","3","4","7","4","2","6","5","1","6","3","4","7","2","2","4","3","4","7","1","1","2","1","5","6"
"서울특별시 광진구 중곡제2동(1121575000)","4","3","7","3","5","8","6","4","10","4","6","10","2","5","7","2","5","7","6","3","9","3","2","5","2","8","10","6","5","11","2","5","7","6","2","8","3","5","8","1","4","5","4","4","8","8","3","11","4","2","6","1","4","5","3","5","8","4","1","5","4","5","9","6","3","9","2","2","4","1","5","6","4","1","5","3","2","5","4","2","6","2","2","4","6","6","12","2","2","4","3","6","9","0","3","3","5","2","7","3","5","8","2","3","5","3","4","7","4","3","7","3","2","5","3","2","5","7","1","8","4","7","11","7","3","10","4","4","8","2","2","4","1","3","4","3","5","8","2","3","5","3","3","6","7","4","11","2","3","5","0","4","4","4","3","7","2","4","6","4","5","9","3","1","4","2","5","7","5","2","7","1","2","3","3","2","5","0","3","3"
"서울특별시 광진구 중곡제3동(1121576000)","2","2","4","4","2","6","1","2","3","6","3","9","6","3","9","5","3","8","2","2","4","2","2","4","3","3","6","5","2","7","6","4","10","9","4","13","9","1","10","3","3","6","3","6","9","3","2","5","3","4","7","1","1","2","2","2","4","3","5","8","1","2","3","2","2","4","2","3","5","2","4","6","4","1","5","1","6","7","1","2","3","2","4","6","2","6","8","1","9","10","3","2","5","4","2","6","2","0","2","3","2","5","2","3","5","10","1","11","5","2","7","1","1","2","4","3","7","4","7","11","1","3","4","2","2","4","3","0","3","5","2","7","2","3","5","1","5","6","4","4","8","5","0","5","1","3","4","2","1","3","1","1","2","4","3","7","4","2","6","3","2","5","1","2","3","3","1","4","1","0","1","2","7","9","4","2","6","3","2","5"
"서울특별시 광진구 중곡제4동(1121577000)","5","9","14","3","4","7","3","2","5","7","7","14","9","5","14","7","4","11","7","6","13","5","6","11","5","10","15","2","3","5","3","4","7","4","4","8","8","9","17","10","8","18","11","4","15","1","9","10","7","2","9","8","6","14","5","4","9","4","4","8","5","6","11","4","4","8","4","3","7","5","2","7","5","3","8","1","8","9","2","2","4","4","3","7","2","3","5","5","4","9","9","4","13","4","6","10","1","5","6","4","5","9","5","1","6","6","5","11","5","3","8","5","5","10","1","9","10","3","5","8","4","3","7","2","8","10","4","1","5","4","0","4","1","0","1","3","5","8","0","3","3","5","6","11","4","4","8","4","6","10","3","3","6","4","2","6","3","4","7","6","2","8","3","4","7","8","7","15","1","2","3","4","7","11","2","2","4","1","3","4"
"서울특별시 광진구 능동(1121578000)","2","3","5","5","3","8","4","3","7","1","3","4","5","4","9","5","3","8","3","2","5","4","1","5","2","2","4","1","0","1","2","2","4","4","5","9","0","4","4","1","0","1","4","1","5","4","3","7","5","3","8","1","2","3","3","2","5","3","1","4","2","2","4","5","2","7","4","3","7","0","1","1","2","2","4","5","1","6","3","1","4","1","3","4","2","2","4","4","1","5","2","0","2","3","5","8","3","4","7","5","2","7","2","3","5","1","2","3","1","2","3","1","2","3","2","2","4","0","0","0","3","1","4","2","4","6","2","2","4","2","1","3","1","2","3","3","1","4","0","1","1","6","1","7","2","2","4","5","2","7","4","1","5","1","5","6","3","0","3","3","1","4","1","1","2","2","0","2","3","5","8","1","4","5","2","2","4","1","4","5"
"서울특별시 광진구 광장동(1121581000)","6","4","10","5","7","12","5","3","8","9","7","16","3","7","10","5","9","14","3","7","10","4","6","10","7","4","11","3","6","9","3","6","9","6","12","18","5","3","8","4","0","4","7","6","13","8","1","9","3","6","9","7","3","10","9","3","12","3","6","9","2","7","9","6","1","7","8","8","16","8","5","13","4","4","8","5","1","6","5","3","8","6","3","9","7","5","12","4","2","6","3","5","8","2","4","6","5","1","6","8","2","10","3","6","9","3","3","6","6","8","14","5","5","10","7","5","12","5","2","7","6","4","10","6","3","9","4","7","11","3","6","9","4","1","5","1","7","8","2","4","6","3","1","4","10","7","17","3","9","12","3","6","9","1","5","6","5","4","9","5","8","13","7","7","14","2","3","5","4","6","10","4","4","8","2","6","8","3","3","6"
"서울특별시 광진구 자양제1동(1121582000)","3","4","7","3","5","8","4","4","8","6","8","14","6","1","7","3","6","9","3","6","9","6","3","9","3","3","6","4","2","6","3","2","5","4","2","6","2","5","7","1","4","5","2","3","5","6","3","9","4","1","5","5","1","6","4","4","8","4","1","5","1","2","3","3","1","4","3","1","4","4","4","8","6","3","9","4","2","6","0","2","2","5","7","12","3","6","9","3","2","5","2","4","6","4","0","4","3","2","5","4","5","9","1","2","3","7","1","8","4","2","6","1","2","3","1","5","6","4","3","7","5","3","8","3","3","6","1","4","5","2","1","3","6","3","9","6","1","7","2","3","5","0","3","3","6","6","12","5","4","9","3","4","7","5","2","7","3","5","8","4","3","7","2","6","8","4","1","5","2","5","7","4","3","7","2","4","6","2","6","8"
