행정구역,2016년03월_계,2016년04월_계,2016년05월_계,2016년06월_계,2016년07월_계,2016년08월_계,2016년09월_계,2016년10월_계,2016년11월_계,2016년12월_계,2017년01월_계,2017년02월_계,2017년03월_계,2017년04월_계,2017년05월_계,2017년06월_계,2017년07월_계,2017년08월_계,2017년09월_계,2017년10월_계,2017년11월_계,2017년12월_계,2018년01월_계,2018년02월_계,2018년03월_계,2018년04월_계,2018년05월_계,2018년06월_계,2018년07월_계,2018년08월_계,2018년09월_계,2018년10월_계,2018년11월_계,2018년12월_계,2019년01월_계,2019년02월_계,2019년03월_계,2019년04월_계,2019년05월_계,2019년06월_계,2019년07월_계,2019년08월_계,2019년09월_계,2019년10월_계,2019년11월_계,2019년12월_계,2020년01월_계,2020년02월_계,2020년03월_계,2020년04월_계,2020년05월_계,2020년06월_계,2020년07월_계,2020년08월_계,2020년09월_계,2020년10월_계,2020년11월_계,2020년12월_계,2021년01월_계,2021년02월_계,2021년03월_계,2021년04월_계,2021년05월_계,2021년06월_계,2021년07월_계,2021년08월_계,2021년09월_계,2021년10월_계,2021년11월_계,2021년12월_계,2022년01월_계,2022년02월_계,2022년03월_계,2022년04월_계,2022년05월_계,2022년06월_계,2022년07월_계,2022년08월_계,2022년09월_계,2022년10월_계,2022년11월_계,2022년12월_계,2023년01월_계,2023년02월_계,2023년03월_계,2023년04월_계,2023년05월_계,2023년06월_계,2023년07월_계,2023년08월_계,2023년09월_계,2023년10월_계,2023년11월_계,2023년12월_계,2024년01월_계,2024년02월_계,2024년03월_계,2024년04월_계,2024년05월_계,2024년06월_계,2024년07월_계,2024년08월_계,2024년09월_계,2024년10월_계,2024년11월_계,2024년12월_계,2025년01월_계,2025년02월_계,2025년03월_계,합계
서울특별시 광진구 광장동(1121581000),23,14,18,15,12,11,12,12,13,20,13,20,20,10,22,15,6,19,14,11,6,20,6,15,12,11,9,27,14,13,9,19,9,14,17,13,8,13,12,8,15,10,18,13,11,13,10,16,13,10,12,8,16,10,14,10,10,11,9,9,18,8,4,13,9,9,10,12,9,9,7,16,13,8,6,8,9,12,6,8,6,6,10,9,6,14,10,12,7,10,9,11,9,5,8,6,4,17,12,9,6,9,13,14,5,10,8,8,6,1246
서울특별시 광진구 구의제1동(1121585000),18,11,20,13,20,16,14,15,22,16,14,19,21,14,15,13,13,18,17,13,9,11,13,17,15,14,21,8,13,11,15,19,10,10,10,17,9,11,7,9,14,9,8,13,10,9,3,8,9,8,13,8,9,7,10,3,1,10,8,4,9,7,4,6,4,12,9,5,5,2,10,7,6,8,5,7,5,9,8,13,5,8,12,14,7,6,7,8,1,10,4,7,9,7,9,2,11,13,6,6,6,4,11,8,12,12,6,10,3,1100
서울특별시 광진구 구의제2동(1121586000),20,19,17,13,17,18,15,13,12,13,11,14,15,9,22,16,14,19,10,9,11,14,22,14,19,13,16,15,12,19,9,19,17,16,15,14,12,14,9,11,15,12,13,15,13,12,13,14,16,9,11,3,5,13,14,8,14,6,15,9,10,12,12,7,14,5,7,10,16,9,6,11,9,8,4,6,7,13,13,5,4,6,5,4,5,5,16,11,8,8,12,11,14,3,8,9,13,9,9,9,11,7,11,7,4,9,6,6,11,1242
서울특별시 광진구 구의제3동(1121587000),23,21,28,30,32,23,29,21,13,30,14,22,27,9,29,18,26,15,13,21,16,15,16,11,19,12,13,18,15,17,19,20,19,21,11,22,25,16,25,12,18,16,21,14,15,11,15,16,24,13,8,18,12,11,12,13,10,10,9,11,17,16,15,21,14,20,14,6,11,10,11,11,22,15,11,20,19,17,7,15,12,14,14,6,11,14,13,11,7,11,8,10,6,9,16,15,5,14,10,10,11,16,7,14,18,7,14,15,14,1687
서울특별시 광진구 군자동(1121573000),11,12,12,8,13,23,16,14,12,6,17,16,9,4,14,9,4,12,8,8,4,14,16,9,9,15,6,5,14,18,6,5,4,9,10,10,8,6,6,6,7,9,9,7,8,5,7,4,9,5,6,9,8,5,5,6,11,8,7,5,9,10,7,6,8,4,5,7,6,9,5,7,6,10,3,5,3,11,1,5,5,4,4,6,5,5,9,6,9,8,5,5,6,3,9,3,8,2,4,5,9,0,6,6,1,5,3,3,6,825
서울특별시 광진구 능동(1121578000),10,10,19,10,9,5,11,16,13,6,11,8,7,8,11,6,11,9,10,7,6,6,7,11,11,7,6,11,8,10,4,3,9,9,7,14,3,7,12,2,6,6,7,7,10,6,5,4,10,5,8,7,4,9,8,5,5,4,1,4,9,4,1,5,7,8,3,5,4,4,7,7,1,4,6,4,4,4,5,2,8,7,7,5,3,3,3,4,0,4,6,4,3,3,4,1,7,4,7,5,6,3,4,2,2,8,5,4,5,692
서울특별시 광진구 자양제1동(1121582000),18,10,16,14,14,15,15,11,10,15,17,15,9,13,14,9,9,11,11,11,12,10,10,8,11,10,10,8,18,11,14,11,10,11,8,11,13,18,8,9,11,10,8,10,5,16,4,6,6,7,8,8,14,7,9,9,9,6,6,5,6,7,5,5,9,5,6,8,5,3,4,4,8,9,6,2,12,9,5,6,4,5,9,3,8,6,3,6,7,8,6,5,3,9,7,5,3,12,9,7,7,8,7,8,5,7,7,6,8,954
서울특별시 광진구 자양제2동(1121583000),18,20,18,15,19,19,23,25,15,12,15,25,14,12,22,24,8,21,16,19,16,19,16,12,16,13,20,9,16,19,13,14,16,8,20,18,17,12,13,7,16,18,20,14,15,7,14,9,15,7,13,5,11,11,11,8,8,6,5,10,13,16,12,11,6,13,10,11,6,5,6,9,10,17,17,11,11,12,5,13,7,7,4,8,7,7,8,14,8,6,12,10,7,3,12,9,8,8,14,9,18,5,8,8,8,8,7,11,8,1340
서울특별시 광진구 자양제3동(1121584000),28,29,30,22,21,19,17,24,20,19,20,26,28,23,19,22,19,25,19,13,18,19,14,31,19,20,15,18,24,12,15,19,14,23,15,16,19,20,13,17,22,20,18,15,15,27,12,12,11,15,14,14,12,11,18,17,13,10,12,14,17,19,18,19,17,22,16,23,13,12,10,12,20,21,12,8,15,9,9,19,11,10,8,14,18,9,13,8,12,10,7,10,17,15,9,14,19,8,12,11,16,8,11,14,16,6,18,15,20,1776
서울특별시 광진구 자양제4동(1121584700),10,9,13,5,11,5,13,5,10,11,6,11,12,10,7,11,5,10,10,12,7,7,13,9,10,13,12,7,9,7,3,10,10,4,3,5,9,5,9,7,4,6,7,9,9,5,4,4,8,3,2,8,4,6,9,3,5,6,8,7,2,4,6,5,6,5,5,4,6,4,2,6,9,8,9,6,5,2,6,4,4,4,6,8,8,8,8,10,3,7,4,8,7,9,14,2,6,4,6,7,18,4,4,6,13,11,8,7,6,776
서울특별시 광진구 중곡제1동(1121574000),19,11,17,12,16,22,13,18,8,13,12,6,20,8,9,12,9,8,11,6,12,5,7,10,15,14,8,13,16,16,12,11,9,8,8,5,8,7,8,14,8,7,12,7,6,8,9,8,7,6,12,6,6,9,4,12,5,10,10,4,4,5,7,8,9,3,8,6,5,7,9,7,7,9,6,9,2,2,7,7,4,6,3,6,8,4,4,6,4,6,3,7,6,6,5,3,7,3,1,1,6,7,6,6,7,4,7,2,6,883
서울특별시 광진구 중곡제2동(1121575000),10,17,26,16,28,17,13,19,12,18,11,20,17,15,7,15,11,13,17,14,10,8,23,10,16,14,12,15,10,13,16,13,14,13,15,18,16,8,19,14,15,8,16,8,8,4,5,4,12,7,8,10,10,7,7,9,5,10,11,7,8,8,5,8,11,6,5,8,5,9,9,4,6,5,5,6,4,12,4,9,3,7,8,5,7,7,5,5,8,11,10,8,4,4,8,5,6,11,5,4,7,6,9,4,7,7,3,5,3,1083
서울특별시 광진구 중곡제3동(1121576000),16,18,5,17,12,13,18,13,10,10,6,10,11,14,13,9,15,10,12,12,7,8,4,9,9,8,8,9,14,10,6,14,6,11,10,13,10,12,5,6,3,7,1,9,7,7,7,6,7,4,6,3,9,9,8,4,4,6,7,10,13,10,6,9,5,7,2,4,8,3,4,5,6,5,7,3,6,8,10,5,6,2,5,5,11,7,2,7,11,4,4,3,7,5,6,8,5,4,3,2,7,6,5,3,4,1,9,6,5,826
서울특별시 광진구 중곡제4동(1121577000),24,24,32,13,25,22,29,20,17,15,20,28,18,20,21,19,21,18,16,28,16,17,13,29,20,15,17,20,24,28,19,8,16,12,16,16,15,16,13,11,19,24,11,19,16,13,12,13,15,14,7,5,14,14,11,13,11,15,5,7,8,17,18,15,10,9,14,9,8,11,8,7,7,8,9,4,7,5,9,13,10,6,9,6,11,8,10,10,8,7,10,5,4,1,8,3,11,8,10,6,6,7,8,7,15,3,11,4,4,1441
서울특별시 광진구 화양동(1121571000),11,11,7,10,7,7,13,6,7,2,9,10,8,2,4,5,7,4,7,4,7,4,9,2,4,5,4,4,4,4,5,11,5,2,2,4,5,2,5,7,1,3,9,4,7,8,5,2,5,0,2,2,6,4,2,2,3,2,9,3,8,2,6,6,6,3,2,3,4,2,5,2,3,7,3,1,4,1,5,3,3,5,4,2,3,1,3,1,6,2,2,5,5,4,1,6,4,1,6,4,4,8,1,2,2,9,1,5,10,501
서울특별시 서울특별시 광진구 (1121500000),259,236,278,213,256,235,251,232,194,206,196,250,236,171,229,203,178,212,191,188,157,177,189,197,205,184,177,187,211,208,165,196,168,171,167,196,177,167,164,140,174,165,178,164,155,151,125,126,167,113,130,114,140,133,142,122,114,120,122,109,151,145,126,144,135,131,116,121,111,99,103,115,133,142,109,100,113,126,100,127,92,97,108,101,118,104,114,119,99,112,102,109,107,86,124,91,117,118,114,95,138,98,111,109,119,107,113,107,115,16372
