시군구명,어린이집코드,어린이집명,어린이집유형,운영현황,우편번호,상세주소,위도,경도
광진구,11215000368,구립 해달별어린이집,국공립,정상,5048,서울특별시 광진구 구의강변로3가길 39 701동 102호,37.53676083,127.0909687
광진구,11215000369,구립 자양이스트폴어린이집,국공립,정상,5050,서울특별시 광진구 뚝섬로 717 구립 자양이스트폴어린이집,37.53465627,127.088955
광진구,11215000366,구립 새벽어린이집,국공립,정상,4947,서울특별시 광진구 영화사로 53 1층,37.55566257,127.0925308
광진구,11215000365,구립 자양롯데캐슬어린이집,국공립,정상,5080,서울특별시 광진구 뚝섬로 467,37.53744095,127.063639
광진구,11215000364,광진구육아종합지원센터(꾸미팡팡공동육아방 3호점),국공립,정상,4999,서울특별시 광진구 동일로56가길 31 3층,37.5545939,127.0726932
광진구,11215000362,구립 광진그랜드파크어린이집,국공립,정상,5022,서울특별시 광진구 광나루로 458 어린이집,37.54370562,127.0812344
광진구,11215000361,구립 자양호반써밋어린이집,국공립,정상,5074,서울특별시 광진구 능동로 69 어린이집(자양동,37.5361005,127.0681913
광진구,11215000359,구립 중곡하나어린이집,국공립,정상,4905,서울특별시 광진구 동일로76길 59,37.56807936,127.0819513
광진구,11215000360,구립 자양도담어린이집,국공립,정상,5054,서울특별시 광진구 아차산로44가길 5 (자양동 231-51),37.53617752,127.0799463
광진구,11215000358,구립 샘물어린이집,국공립,정상,5105,서울특별시 광진구 뚝섬로58길 56 101호,37.52978908,127.0852667
광진구,11215000357,구립 아이와나무어린이집,국공립,정상,4931,서울특별시 광진구 천호대로123길 4-4,37.55523866,127.0871885
광진구,11215000356,구립 우리아이어린이집,국공립,정상,5036,서울특별시 광진구 구의로4길 21 구의동,37.54012729,127.0908384
광진구,11215000355,KB구의 어린이집,직장,정상,4977,서울특별시 광진구 광나루로 525 3층,37.54511534,127.0880028
광진구,11215000351,구립 봄빛어린이집,국공립,정상,5086,서울특별시 광진구 능동로 19 101동 103호(자양동,37.5329127,127.0655509
광진구,11215000354,구립 사랑모아어린이집,국공립,정상,5118,서울특별시 광진구 광나루로56길 32 구의현대아파트 202동 103호,37.53956705,127.0971161
광진구,11215000352,구립 행복마루어린이집,국공립,정상,5107,서울특별시 광진구 뚝섬로56가길 10 (자양2동 현대3차 301-105),37.52788128,127.0835916
광진구,11215000353,구립 하늘땅별땅어린이집,국공립,정상,4995,서울특별시 광진구 동일로56길 15 (군자동),37.5560506,127.0729399
광진구,11215000349,구립 베베아이어린이집,국공립,정상,4983,서울특별시 광진구 아차산로 549 1008동 101호(광장동,37.5520642,127.1113539
