동별(1),동별(2),항목,합계,0~4세,5~9세
광진구,소계,계,14675,6122,8553
광진구,소계,한국인,331963,5835,8263
광진구,소계,등록외국인,16689,287,290
광진구,화양동,계,312,159,153
광진구,화양동,한국인,22880,136,142
광진구,화양동,등록외국인,4881,23,11
광진구,군자동,계,692,311,381
광진구,군자동,한국인,18729,233,343
광진구,군자동,등록외국인,2702,78,38
광진구,중곡1동,계,527,265,262
광진구,중곡1동,한국인,15111,253,248
광진구,중곡1동,등록외국인,501,12,14
광진구,중곡2동,계,782,297,485
광진구,중곡2동,한국인,20172,284,477
광진구,중곡2동,등록외국인,368,13,8
광진구,중곡3동,계,545,272,273
광진구,중곡3동,한국인,15379,258,266
광진구,중곡3동,등록외국인,313,14,7
광진구,중곡4동,계,947,443,504
광진구,중곡4동,한국인,27284,436,491
광진구,중곡4동,등록외국인,440,7,13
광진구,능동,계,432,211,221
광진구,능동,한국인,10903,195,203
광진구,능동,등록외국인,451,16,18
광진구,구의1동,계,818,370,448
광진구,구의1동,한국인,22961,347,429
광진구,구의1동,등록외국인,715,23,19
광진구,구의2동,계,1276,505,771
광진구,구의2동,한국인,25295,479,731
광진구,구의2동,등록외국인,630,26,40
광진구,구의3동,계,1512,652,860
광진구,구의3동,한국인,27657,646,855
광진구,구의3동,등록외국인,246,6,5
광진구,광장동,계,2407,674,1733
광진구,광장동,한국인,33788,661,1714
광진구,광장동,등록외국인,252,13,19
광진구,자양1동,계,673,279,394
광진구,자양1동,한국인,21762,267,382
광진구,자양1동,등록외국인,932,12,12
광진구,자양2동,계,1147,526,621
광진구,자양2동,한국인,23381,514,607
광진구,자양2동,등록외국인,335,12,14
광진구,자양3동,계,1808,786,1022
광진구,자양3동,한국인,27010,778,1017
광진구,자양3동,등록외국인,329,8,5
광진구,자양4동,계,797,372,425
광진구,자양4동,한국인,19651,348,358
광진구,자양4동,등록외국인,3594,24,67
