"동별(1)","동별(2)",항목,2024 4/4,2024 4/4
"동별(1)","동별(2)",항목,0~4세,5~9세
"종로구","사직동",계,163,265
"종로구","사직동",한국인,157,257
"종로구","사직동",등록외국인,6,8
"종로구","삼청동",계,37,69
"종로구","삼청동",한국인,32,49
"종로구","삼청동",등록외국인,5,20
"종로구","부암동",계,125,245
"종로구","부암동",한국인,125,245
"종로구","부암동",등록외국인,-,-
"종로구","평창동",계,372,572
"종로구","평창동",한국인,370,569
"종로구","평창동",등록외국인,2,3
"종로구","무악동",계,188,310
"종로구","무악동",한국인,188,310
"종로구","무악동",등록외국인,-,-
"종로구","교남동",계,296,430
"종로구","교남동",한국인,291,423
"종로구","교남동",등록외국인,5,7
"종로구","가회동",계,57,101
"종로구","가회동",한국인,55,97
"종로구","가회동",등록외국인,2,4
"종로구","종로1.2.3.4가동",계,192,208
"종로구","종로1.2.3.4가동",한국인,79,70
"종로구","종로1.2.3.4가동",등록외국인,113,138
"종로구","종로5.6가동",계,56,94
"종로구","종로5.6가동",한국인,52,87
"종로구","종로5.6가동",등록외국인,4,7
"종로구","이화동",계,74,99
"종로구","이화동",한국인,68,93
"종로구","이화동",등록외국인,6,6
"종로구","창신1동",계,58,61
"종로구","창신1동",한국인,51,49
"종로구","창신1동",등록외국인,7,12
"종로구","창신2동",계,90,93
"종로구","창신2동",한국인,68,79
"종로구","창신2동",등록외국인,22,14
"종로구","창신3동",계,138,142
"종로구","창신3동",한국인,135,135
"종로구","창신3동",등록외국인,3,7
"종로구","숭인1동",계,83,95
"종로구","숭인1동",한국인,76,91
"종로구","숭인1동",등록외국인,7,4
"종로구","숭인2동",계,101,99
"종로구","숭인2동",한국인,99,96
"종로구","숭인2동",등록외국인,2,3
"종로구","청운효자동",계,224,326
"종로구","청운효자동",한국인,220,324
"종로구","청운효자동",등록외국인,4,2
"종로구","혜화동",계,195,288
"종로구","혜화동",한국인,188,283
"종로구","혜화동",등록외국인,7,5
"중구","소공동",계,116,150
"중구","소공동",한국인,59,72
"중구","소공동",등록외국인,57,78
"중구","회현동",계,94,114
"중구","회현동",한국인,73,76
"중구","회현동",등록외국인,21,38
"중구","명동",계,40,62
"중구","명동",한국인,27,25
"중구","명동",등록외국인,13,37
"중구","필동",계,62,71
"중구","필동",한국인,62,67
"중구","필동",등록외국인,-,4
"중구","장충동",계,70,86
"중구","장충동",한국인,56,71
"중구","장충동",등록외국인,14,15
"중구","광희동",계,74,76
"중구","광희동",한국인,58,58
"중구","광희동",등록외국인,16,18
"중구","을지로동",계,100,42
"중구","을지로동",한국인,90,38
"중구","을지로동",등록외국인,10,4
"중구","신당5동",계,227,218
"중구","신당5동",한국인,219,214
"중구","신당5동",등록외국인,8,4
"중구","황학동",계,316,316
"중구","황학동",한국인,303,289
"중구","황학동",등록외국인,13,27
"중구","중림동",계,473,449
"중구","중림동",한국인,459,443
"중구","중림동",등록외국인,14,6
"중구","신당동",계,107,168
"중구","신당동",한국인,85,142
"중구","신당동",등록외국인,22,26
"중구","다산동",계,184,238
"중구","다산동",한국인,173,228
"중구","다산동",등록외국인,11,10
"중구","약수동",계,369,431
"중구","약수동",한국인,365,423
"중구","약수동",등록외국인,4,8
"중구","청구동",계,302,293
"중구","청구동",한국인,297,282
"중구","청구동",등록외국인,5,11
"중구","동화동",계,241,334
"중구","동화동",한국인,236,326
"중구","동화동",등록외국인,5,8
"용산구","후암동",계,266,393
"용산구","후암동",한국인,259,380
"용산구","후암동",등록외국인,7,13
"용산구","용산2가동",계,133,171
"용산구","용산2가동",한국인,96,130
"용산구","용산2가동",등록외국인,37,41
"용산구","남영동",계,62,80
"용산구","남영동",한국인,52,66
"용산구","남영동",등록외국인,10,14
"용산구","원효로2동",계,315,407
"용산구","원효로2동",한국인,314,404
"용산구","원효로2동",등록외국인,1,3
"용산구","효창동",계,311,379
"용산구","효창동",한국인,301,366
"용산구","효창동",등록외국인,10,13
"용산구","용문동",계,278,279
"용산구","용문동",한국인,276,276
"용산구","용문동",등록외국인,2,3
"용산구","이촌1동",계,794,1364
"용산구","이촌1동",한국인,768,1314
"용산구","이촌1동",등록외국인,26,50
"용산구","이촌2동",계,241,146
"용산구","이촌2동",한국인,240,146
"용산구","이촌2동",등록외국인,1,-
"용산구","이태원1동",계,134,180
"용산구","이태원1동",한국인,89,110
"용산구","이태원1동",등록외국인,45,70
"용산구","이태원2동",계,204,269
"용산구","이태원2동",한국인,130,187
"용산구","이태원2동",등록외국인,74,82
"용산구","서빙고동",계,320,420
"용산구","서빙고동",한국인,278,352
"용산구","서빙고동",등록외국인,42,68
"용산구","보광동",계,99,126
"용산구","보광동",한국인,65,83
"용산구","보광동",등록외국인,34,43
"용산구","청파동",계,223,240
"용산구","청파동",한국인,214,234
"용산구","청파동",등록외국인,9,6
"용산구","원효로1동",계,560,584
"용산구","원효로1동",한국인,516,541
"용산구","원효로1동",등록외국인,44,43
"용산구","한강로동",계,783,618
"용산구","한강로동",한국인,700,487
"용산구","한강로동",등록외국인,83,131
"용산구","한남동",계,507,565
"용산구","한남동",한국인,434,442
"용산구","한남동",등록외국인,73,123
"성동구","왕십리2동",계,499,501
"성동구","왕십리2동",한국인,490,495
"성동구","왕십리2동",등록외국인,9,6
"성동구","마장동",계,465,486
"성동구","마장동",한국인,449,474
"성동구","마장동",등록외국인,16,12
"성동구","사근동",계,144,162
"성동구","사근동",한국인,133,158
"성동구","사근동",등록외국인,11,4
"성동구","행당1동",계,375,428
"성동구","행당1동",한국인,372,425
"성동구","행당1동",등록외국인,3,3
"성동구","행당2동",계,687,812
"성동구","행당2동",한국인,687,811
"성동구","행당2동",등록외국인,-,1
"성동구","응봉동",계,373,531
"성동구","응봉동",한국인,372,529
"성동구","응봉동",등록외국인,1,2
"성동구","금호1가동",계,491,545
"성동구","금호1가동",한국인,489,542
"성동구","금호1가동",등록외국인,2,3
"성동구","금호4가동",계,529,609
"성동구","금호4가동",한국인,529,608
"성동구","금호4가동",등록외국인,-,1
"성동구","성수1가1동",계,381,386
"성동구","성수1가1동",한국인,373,384
"성동구","성수1가1동",등록외국인,8,2
"성동구","성수1가2동",계,291,273
"성동구","성수1가2동",한국인,290,271
"성동구","성수1가2동",등록외국인,1,2
"성동구","성수2가1동",계,264,258
"성동구","성수2가1동",한국인,255,253
"성동구","성수2가1동",등록외국인,9,5
"성동구","성수2가3동",계,201,197
"성동구","성수2가3동",한국인,199,196
"성동구","성수2가3동",등록외국인,2,1
"성동구","송정동",계,149,186
"성동구","송정동",한국인,140,180
"성동구","송정동",등록외국인,9,6
"성동구","용답동",계,132,155
"성동구","용답동",한국인,117,137
"성동구","용답동",등록외국인,15,18
"성동구","왕십리도선동",계,870,1064
"성동구","왕십리도선동",한국인,861,1055
"성동구","왕십리도선동",등록외국인,9,9
"성동구","금호2.3가동",계,731,741
"성동구","금호2.3가동",한국인,729,739
"성동구","금호2.3가동",등록외국인,2,2
"성동구","옥수동",계,1087,1160
"성동구","옥수동",한국인,1078,1154
"성동구","옥수동",등록외국인,9,6
"광진구","소계",계,6122,8553
"광진구","소계",한국인,5835,8263
"광진구","소계",등록외국인,287,290
"광진구","화양동",계,159,153
"광진구","화양동",한국인,136,142
"광진구","화양동",등록외국인,23,11
