행정구역,평균 상가 임대료,월_평균_소득_금액,출생현황(16~25),연령별 등록 인구 (0~9세),Cctv 개수,어린이집 개수,지하철역 개수,정류장 개수
광장동,129507 ,5284540,1246,2407,264,31,1,38
구의1동,93362 ,2683701,1100,818,281,13,1,13
구의2동,107882 ,2948328,1242,1276,330,26,1,20
구의3동,128232 ,4010979,1687,1512,275,25,1,23
군자동,100124 ,2604535,825,692,308,23,2,22
능동,129779 ,2846023,692,432,209,8,3,9
자양1동,90778 ,2745988,954,673,234,25,0,13
자양2동,88566 ,2999213,1340,1147,287,24,1,15
자양3동,127590 ,4353416,1776,1808,216,21,2,16
자양4동,114150 ,2795134,776,797,287,17,2,13
중곡1동,82285 ,2542359,883,527,198,7,1,18
중곡2동,90912 ,2555101,1083,782,251,19,1,17
중곡3동,73510 ,2390961,826,545,288,16,1,21
중곡4동,105975 ,2523958,1441,947,356,28,1,33
화양동,150208 ,2470026,501,312,304,12,2,22
